Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
BANK,JH291,BMO GLOBAL BANKS HEDGED TO CAD INDEX ETF,535700,20.81849,0.3602,0,1.30355,0.35,100000,0.15

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
CHOICE PROPERTIES,CHP-U,224,12.41,389798,BBX46Q3
POWER FINANCIAL CORP,PWF,236,31.17,411429,2697864
TORONTO-DOMINION BANK,TD,1790,76.88,3120478,2897222
TRICON CAPITAL GROUP INC,TCN,130,10.90,226866,B4NP281
CASCADES INC,CAS,64,12.18,112412,2179254
BAUSCH HEALTH COMPANIES INC,BHC,302,29.74,526076,BFFY852
INDUSTRIAL ALLNCE INS FIN SRVC,IAG,107,52.31,185764,2543688
BOYD GROUP INCOME FD,BYD-U,19,119.87,33231,2438900
NUVISTA ENERGY LTD,NVA,170,8.97,295813,2901167
ECN CAPITAL CORP,ECN,322,3.61,561632,BYVZ982
INTER PIPELINE LTD,IPL,374,24.59,651604,BDD54N3
CHEMTRADE LOGISTICS INCOME FUND,CHE-U,90,14.90,156978,2782191
BROOKFIELD ASSET MANAGEMENT INC,BAM/A,847,55.06,1475743,2092599
OCEANAGOLD CORP,OGC,600,3.83,1046154,B1Z7L21
PRETIUM RESOURCES INC,PVG,149,11.24,259318,B57Q8S9
HUDBAY MINERALS INC,HBM,254,7.00,442905,B05BDX1
WEST FRASER TIMBER CO LTD,WFT,58,80.80,100377,2951098
PASON SYSTEMS INC,PSI,72,20.56,125807,2569565
CANFOR CORP,CFP,65,28.25,113397,B18P4F6
LUNDIN MINING CORP,LUN,619,7.29,1078429,2866857
ENERFLEX LTD,EFX,86,14.65,150197,B4Y2RV9
POWER CORPORATION OF CANADA,POW,356,29.77,620353,2697701
NEVSUN RESOURCES LTD,NSU,294,4.76,512450,2631486
IVANHOE MINES LTD,IVN,523,2.49,912105,BD73C40
STANTEC INC,STN,111,34.22,193100,2854238
DOLLARAMA INC,DOL,292,47.98,509782,B4TP9G2
KELT EXPLORATION LTD,KEL,147,9.87,256016,B9KF5Q8
ENBRIDGE INCOME FUND HOLDINGS INC,ENF,136,32.25,236864,B5PJ0N9
SECURE ENERGY SERVICES INC,SES,159,7.76,277618,B55SGV6
NEXGEN ENERGY LTD,NXE,283,2.38,493044,B987K72
CANADIAN IMPERIAL BANK OF COMMERCE,CM,431,117.32,752110,2170525
ADVANTAGE OIL & GAS LTD,AAV,181,4.62,315650,B66PKS8
CANADIAN WESTERN BANK,CWB,86,36.23,150377,2188283
GEORGE WESTON LTD,WN,46,108.11,80246,2956662
RITCHIE BROS. AUCTIONEERS INC,RBA,105,42.13,182712,2345390
CANADIAN APARTMENT PROPERTIES REIT,CAR-U,140,42.98,243664,2117599
GILDAN ACTIVEWEAR INC,GIL,208,34.19,362801,2254645
DESCARTES SYSTEMS GROUP INC,DSG,75,44.30,130229,2141941
ATS AUTOMATION TOOLING SYSTEMS INC,ATA,74,18.98,129272,2002587
SEVEN GENERATIONS ENERGY LTD,VII,272,15.13,473567,BRK0MM4
ROYAL BANK OF CANADA,RY,1399,100.88,2437988,2754383
KINAXIS INC,KXS,25,96.12,43376,BN85P68
TELUS CORP,T,578,47.02,1007027,2381093
KEYERA CORP,KEY,201,37.75,349838,B3SGMV5
FIRSTSERVICE CORP,FSV,30,109.95,52839,BYL7ZF7
OPEN TEXT CORP,OTEX,259,49.48,452167,2260824
PARAMOUNT RESOURCES LTD,POU,70,15.03,122354,B073FP1
GREAT-WEST LIFECO INC,GWO,269,32.52,469219,2384951
CHARTWELL RETIREME,CSH-U,205,15.15,357938,B8S8C94
SMARTCENTRES REAL ESTATE INVESTMENT,SRU-U,115,30.13,200965,BZ22BK5
BRP INC,DOO,34,60.79,58882,B9B3FG1
SIERRA WIRELESS INC,SW,35,21.56,60853,2418968
EXCHANGE INCOME CORP,EIF,28,32.46,48695,B3VHDS9
CANADIAN PACIFIC RAILWAY LTD,CP,139,252.81,241519,2793115
CONSTELLATION SOFTWARE INC,CSU,19,1066.67,33294,B15C4L6
FIRST QUANTUM MINERALS LTD,FM,669,19.03,1165563,2347608
H&R REAL ESTATE INVESTMENT TRUST,HR-U,281,20.01,489313,B3DJHT2
BROOKFIELD PROPERTY PARTNERS LP,BPY-U,198,26.84,345049,B96G8X3
ALTUS GROUP LTD,AIF,35,28.96,61786,B67M8D9
GIBSON ENERGY INC,GEI,140,17.50,243562,B44WH97
KNIGHT THERAPEUTICS INC,GUD,107,8.50,186405,BK6WN77
ENSIGN ENERGY SERVICES INC,ESI,125,5.36,218081,2317623
EMERA INC,EMA,224,42.34,390860,2650050
TFI INTERNATIONAL INC,TFII,86,39.69,149404,BDRXBF4
CAE INC,CAE,260,26.84,453618,2162760
ALACER GOLD CORP,ASR,287,2.82,500099,B40B271
NUTRIEN LTD,NTR,615,69.07,1072313,BDRJLN0
CGI GROUP INC,GIB/A,248,84.00,432467,2159740
INTERTAPE POLYMER GROUP INC,ITP,54,16.72,94694,2459901
SUNCOR ENERGY INC,SU,1585,53.11,2762486,B3NB1P2
SANDSTORM GOLD LTD,SSL,179,5.82,312351,B7YC668
BARRICK GOLD CORP,ABX,1132,15.43,1972931,2024644
CANADIAN UTILITIES LTD,CU,119,32.92,207478,2172639
GRAN TIERRA ENERGY INC,GTE,375,4.40,653283,B2PPCS5
BCE INC,BCE,871,54.82,1518179,B188TH2
BOMBARDIER INC,BBD/B,2043,4.76,3561451,2109723
NORBORD INC,OSB,43,47.47,74852,2641441
TAHOE RESOURCES INC,THO,304,5.78,530527,B5B9KV1
RAGING RIVER EXPLORATION INC,RRX,209,5.78,364650,B7N9Y55
ALGONQUIN POWER & UTILITIES CORP,AQN,458,12.79,797796,B51BMR7
QUEBECOR INC,QBR/B,152,27.57,264575,2715777
PREMIUM BRANDS HOLDINGS CORP,PBH,28,106.20,47957,B1VJFK7
WHEATON PRECIOUS METALS CORP,WPM,430,28.03,748684,BF13KN5
TRANSCANADA CORP,TRP,864,58.29,1506438,2665184
TOROMONT INDUSTRIES LTD,TIH,75,66.14,130490,2897103
EMPIRE COMPANY LTD,EMP/A,155,26.53,270645,2314000
WINPAK LTD,WPK,30,44.93,51815,2972851
BROOKFIELD BUSINESS PARTNERS LP,BBU-U,39,51.68,68546,BYNDNQ0
NORTHLAND POWER INC,NPI,111,24.19,193121,B68XHC3
LABRADOR IRON ORE ROYALTY CORP,LIF,62,24.62,108487,B8L02P3
MAGNA INTERNATIONAL INC,MG,323,76.52,562197,2554475
DETOUR GOLD CORP,DGC,170,13.03,296579,B1PMQ65
COMINAR REAL ESTATE INVT TR,CUF-U,168,12.69,292241,2419927
ELDORADO GOLD CORP,ELD,772,1.49,1345947,2307873
COGECO COMMUNICATIONS INC,CCA,22,69.83,38886,BZCDFX9
ENCANA CORP,ECA,934,17.25,1628209,2793193
APHRIA INC,APH,193,10.44,337212,BTC2NF2
SLEEP COUNTRY CANADA HOLDINGS INC,ZZZ,34,31.04,59770,BYP3H11
IGM FINANCIAL INC,IGM,82,39.83,142890,2469375
HUDSONS BAY CO,HBC,114,11.40,198624,B8436W4
LAURENTIAN BANK OF CANADA,LB,41,45.49,70817,2077347
ROGERS COMMUNICATIONS INC,RCI/B,347,64.76,605500,2169051
BADGER DAYLIGHTING LIMITED,BAD,36,29.87,63133,B3M4R76
SNC-LAVALIN GROUP INC,SNC,171,56.81,297547,2763884
TOREX GOLD RES INC,TXG,82,10.04,143654,BD2NKY1
LOBLAW COMPANIES LTD,L,187,68.53,326796,2521800
PRECISION DRILLING CORP,PD,285,4.49,497068,B5YPLH9
WHITECAP RESOURCES INC,WCP,406,8.84,707301,B418WK4
ENERPLUS CORP,ERF,238,17.44,415026,B584T89
PRAIRIESKY ROYALTY LTD,PSK,204,24.29,355240,BN320L4
UNI SELECT INC,UNS,41,21.20,71761,2932480
SUN LIFE FINANCIAL INC,SLF,589,53.35,1027269,2566124
KINDER MORGAN CANADA LIMITED,KML,101,16.63,175637,BF436X4
GOLDCORP INC,G,843,17.43,1469430,2676302
ALARIS ROYALTY CORP,AD,36,17.53,62396,B95JCB9
MULLEN GROUP LTD,MTL,101,15.39,175755,B4MMW16
PAN AMERICAN SILVER CORP,PAAS,149,21.72,259885,2669272
ONEX CORP,ONEX,79,97.42,137364,2659518
MAG SILVER CORP,MAG,72,12.66,126081,2581332
ALTAGAS LTD,ALA,257,26.66,448289,B43WJC5
STELLA-JONES INC,SJ,41,45.45,71930,2809777
WESTERN FOREST PRODUCTS INC,WEF,384,2.42,669254,B02F2N9
HOME CAPITAL GROUP INC,HCG,57,15.70,99769,2434180
IAMGOLD CORP,IMG,454,7.29,790701,2446646
WESTJET AIRLINES LTD,WJA,111,18.71,192866,BYN2G91
ENGHOUSE SYS LTD,ENGH,18,81.09,31587,2282237
AGNICO EAGLE MINES LTD,AEM,226,58.48,394762,2009823
BANK OF NOVA SCOTIA,BNS,1173,76.58,2045295,2076281
GUYANA GOLDFIELDS INC,GUY,169,4.21,295025,B07J7D1
COLLIERS INTERNATIONAL,CIGI,32,108.04,55739,BYL7SB4
MAXAR TECHNOLOGIES LTD,MAXR,55,68.67,95626,BZ4D3B1
DOREL INDUSTRIES INC,DII/B,26,24.49,44909,2262369
CAPITAL POWER CORP,CPX,100,25.48,174558,B61KF83
CANADIAN TIRE CORPORATION LTD,CTC/A,61,176.37,105484,2172286
PAREX RESOURCES INC,PXT,152,21.67,264487,B575D14
CRESCENT POINT ENERGY CORP,CPG,534,9.66,931091,B67C8W8
BLACKBERRY LTD,BB,475,13.46,828513,BCBHZ31
B2GOLD CORP,BTO,956,3.30,1666729,B29VFC4
TOURMALINE OIL CORP,TOU,246,24.54,428953,B3QJ0H8
CANADA GOOSE HOLDINGS INC,GOOS,46,80.73,81009,BF0B2F6
ENBRIDGE INC,ENB,1653,45.56,2881985,2466149

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
ZCPB,FC336,BMO CORE PLUS BOND FUND,90000,30.15525,30.15158,0,1.30355,0.5,25000,0

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
ZDH,JH277,BMO INTERNATIONAL DIVIDEND HEDGED TO CAD ETF,6301000,22.67005,0.22924,0,1.30355,0.4,100000,0

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
BMO INTERNATIONAL DIVIDEND CAD UNITS ETF,ZDI,101465,22.12,6393313,BSM44B4

Open Currency Forwards Position,Quantity,Hedged Currency (%),FX Forward Rate,Value Date
AUD,-17158000,-11.792947438647044104632603199,0.97186,20180208
CAD,140004658.15,99.01351473815621216041319278,1.00000,20180208
CHF,-7575000,-7.0478263093909765280734253311,1.31559,20180208
DKK,-6370000,-0.9249143701321535402201097101,0.20531,20180208
EUR,-35323000,-38.215412499922406927884133179,1.52978,20180208
GBP,-14475000,-17.611033832938643905798892407,1.72034,20180208
HKD,-41579000,-4.8851071820158795178506170316,0.16613,20180208
JPY,-789524900,-6.5607832423175906142974705542,0.01175,20180208
NOK,-20565000,-2.3319679902438293446429189014,0.16034,20180208
NZD,-2934000,-1.8491107040014997061113927225,0.89115,20180208
SEK,-52951000,-5.5770989194961533589123111896,0.14893,20180208
SGD,-2046000,-1.3884629094971335466573737597,0.95957,20180208

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
ZDI,JH274,BMO INTERNATIONAL DIVIDEND ETF,18966600,22.11676,0.06192,0,1.30355,0.4,100000,0.1

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
SWEDBANK AB,SWEDA SS,590,30.40,111857,4846523
IMPERIAL BRANDS PL,IMB LN,482,48.93,91354,0454492
G4S PLC,GFS LN,3154,4.64,598273,B01FLG6
ASTRAZENECA PLC,AZN LN,80,95.95,15200,0989529
EDP ENERGIAS DE PORTUGAL SA,EDP PL,6962,5.27,1320403,4103596
H & M HENNES & MAURITZ AB,HMB SS,2023,20.65,383702,5687431
SONIC HEALTHCARE LTD,SHL AT,367,25.58,69672,6821120
APA GROUP,APA AU,1523,9.21,288921,6247306
MITSUI & CO LTD,8031 JP,973,22.08,184556,6597302
ROCHE HOLDING AG,ROG VX,90,314.74,17000,7110388
BANCO BILBAO VIZCAYA ARGENTARIA S.A.,BBVA SM,2243,9.27,425493,5501906
LAFARGEHOLCIM,HOLN VX,336,63.57,63774,7110753
SINO LAND CO LTD,83 HK,11971,2.20,2270429,6810429
SINGAPORE TELECOMMUNICATIONS,ST SP,10808,3.20,2050000,B02PY22
TOKYO ELECTRON LTD,8035 JP,116,222.62,22000,6895675
MACQUARIE GROUP LTD,MQG AT,88,122.19,16601,B28YTC2
ASX LTD,ASX AU,87,63.36,16432,6129222
CNP ASSURANCES SA,CNP FP,712,29.85,135015,5543986
AVIVA PLC,AV/ LN,2329,8.45,441659,0216238
TELENOR ASA,TEL NO,1069,25.41,202831,4732495
DIRECT LINE INSURANCE GROUP PLC,DLG LN,2768,5.69,525000,BY9D0Y1
ATLANTIA SPA,ATL IM,793,39.24,150396,7667163
HARVEY NORMAN HOLDINGS LTD,HVN AU,4349,3.40,824826,6173508
INSURANCE AUSTRALIA GROUP LTD,IAG AT,908,7.81,172186,6271026
HSBC HOLDINGS PLC,HSBA LN,1403,12.47,266113,0540528
AXA SA,CS FP,857,32.28,162499,7088429
EUTELSAT COMMUNICATIONS SA,ETL FP,1544,28.30,292757,B0M7KJ7
SUMITOMO CORP,8053 JP,1140,21.58,216149,6858946
HKT TRUST AND HKT LTD,6823 HK,24996,1.72,4740872,B4TXDZ3
TRANSURBAN GROUP,TCL AT,458,11.39,86869,6200882
NATIONAL GRID PLC,NG/ LN,1801,14.11,341669,BDR05C0
TOTAL SA,FP FP,389,81.15,73827,B15C557
SOCIETE GENERALE SA,GLE FP,531,56.49,100685,5966516
AGL ENERGY LTD,AGL AT,706,20.95,133934,BSS7GP5
RENAULT SA,RNO FP,232,110.51,44000,4712798
ROYAL DUTCH SHELL PLC,RDSA LN,482,45.76,91397,B03MLX2
COMMONWEALTH BANK OF AUSTRALIA,CBA AT,84,72.70,15887,6215035
ENAGAS SA,ENG SQ,1030,35.96,195306,7383072
PROSIEBENSAT 1 MEDIA SE,PSM GY,1098,34.15,208300,BCZM1B2
FLIGHT CENTRE TRAVEL GROUP LTD,FLT AU,138,64.69,26212,6352147
SSE PLC,SSE LN,1111,23.04,210789,0790873
MARKS AND SPENCER GROUP PLC,MKS LN,4611,5.30,874500,3127489
PANDORA A/S,PNDORA DC,225,95.87,42615,B44XTX8
ENDESA SA,ELE SQ,1422,29.87,269736,5271782
BAYERISCHE MOTOREN WERKE AG,BMW3 GR,193,108.03,36567,5756030
SANDS CHINA LTD,1928 HK,2171,6.98,411751,B5B23W2
PERSIMMON,PSN LN,579,42.71,109890,0682538
NISSAN MOTOR CO LTD,7201 JP,2353,12.17,446300,6642860
SUEZ SA,SEV FP,2021,18.10,383296,B3B8D04
INTESA SANPAOLO SPA,ISP IM,3985,3.78,755826,4076836
AOZORA BANK LTD,8304 JP,417,50.26,79000,B1G1854
DEUTSCHE TELEKOM AG,DTE GR,1459,20.86,276704,5842359
SYDNEY AIRPORT HOLDINGS PTY LTD,SYD AU,813,6.83,154148,B70DWB2
ZURICH INSURANCE GROUP AG,ZURN VX,75,392.25,14292,5983816
BNP PARIBAS SA,BNP FP,174,82.05,33086,7309681
WESTPAC BANKING CORP,WBC AT,442,28.61,83913,6076146
WESFARMERS LTD,WES AT,355,47.81,67385,6948836
INVESTEC PLC,INVP LN,710,9.49,134750,B17BBQ5
NORDEA BANK AB,NDA SS,2513,13.89,476599,5380031
CALTEX AUSTRALIA LTD,CTX AU,357,30.40,67636,6161503
RIO TINTO LIMITED,RIO AT,200,80.09,38010,6220103
BT GROUP PLC,BT/A LN,6473,3.83,1227682,3091357
AUSNET SERVICES LTD,AST AU,8186,1.54,1552523,BPXR7J0
BALOISE HOLDING LTD,BALN VX,96,193.37,18115,7124594
BP PLC,BP/ LN,2061,9.77,390876,0798059
NEW WORLD DEVELOPMENT CO LTD,17 HK,14094,1.86,2673184,6633767
ALLIANZ SE,ALV GR,78,278.47,14762,5231485
BAYERISCHE MOTOREN WERKE AG,BMW GY,142,122.19,26950,5756029
AURIZON HOLDINGS LTD,AZJ AT,3564,4.28,676021,B87CVM3
EQUINOR ASA,EQNR NO,640,34.26,121302,7133608
SANOFI SA,SAN FP,278,112.77,52700,5671735
BORAL LTD,BLD AU,1551,6.47,294144,6218670
TABCORP HOLDINGS LTD,TAH AU,3512,4.52,666111,6873262
CASINO GUICHARD PERRACHON SA,CO FP,768,54.09,145699,4178419
SKANDINAVISKA ENSKILDA BANKEN AB,SEBA SS,2731,13.90,518000,4813345
BOUYGUES SA,EN FP,481,55.98,91292,4002121
DEUTSCHE POST AG,DPW GY,554,44.15,105000,4617859
ING GROEP NV,INGA NA,1381,19.77,262000,BZ57390
ROYAL MAIL PLC,RMG LN,2382,8.17,451700,BDVZYZ7
CROWN RESORTS LTD,CWN AU,578,13.13,109664,B29LCJ0
SCOR SE,SCR FP,512,49.65,97075,B1LB9P6
SUNCORP GROUP LTD,SUN AT,953,14.61,180718,6585084
SEVERN TRENT PLC,SVT LN,532,32.44,100878,B1FH8J7
STD LIFE ABERDEEN,SLA LN,1602,5.28,303918,BVFD7Q5
FERROVIAL SA,FER SM,776,26.79,147274,B038516
SWISS RE AG,SREN VX,293,116.38,55651,B545MG5
SUBARU CORP,7270 JT,634,37.80,120200,6356406
MUENCHENER RUECKVERSICHERUNGS AG,MUV2 GR,87,280.72,16534,5294121
RIO TINTO PLC,RIO LN,264,72.28,50000,0718875
ROYAL DUTCH SHELL PLC,RDSB LN,445,46.97,84441,B03MM40
FORTESCUE METALS GROUP LTD,FMG AT,3623,4.46,687148,6086253
GAS NATURAL SDG SA,MTGY SM,890,35.41,168813,5650422
UNITED UTILITIES GROUP PLC,UU/ LN,1581,12.21,299900,B39J2M4
STORA ENSO OYJ,STERV FH,571,22.24,108384,5072673
SPARK NEW ZEALAND LTD,SPK NZ,12368,3.41,2345724,6881436
SWISSCOM AG,SCMN VX,50,590.07,9399,5533976
ANHEUSER BUSCH INBEV NV,ABI BB,202,139.16,38300,BYYHL23
UPM-KYMMENE OYJ,UPM FH,536,46.70,101695,5051252
BENDIGO AND ADELAIDE BANK LTD,BEN AU,1251,11.09,237266,6091280
LEGAL & GENERAL GROUP PLC,LGEN LN,1898,4.56,359925,0560399

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
ZDJ,JH207,BMO DOW JONES INDUSTRIAL AVERAGE HEDGED TO CAD INDEX ETF,4982951,42.88152,0.47228,0,1.30355,0.23,100000,0

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
INTEL CORP,INTC US,868,68.35,43247,2463247
UNITED TECHNOLOGIES CORP,UTX US,868,175.65,43247,2915500
TRAVELERS COMPANIES INC,TRV US,868,164.61,43247,2769503
AMERICAN EXPRESS CO,AXP US,868,133.78,43247,2026082
VISA INC,V US,868,185.94,43247,B2PZN04
DOWDUPONT INC,DWDP US,868,88.03,43247,BYP66M4
COCA-COLA CO,KO US,868,60.08,43247,2206657
WALGREENS BOOTS ALLIANCE INC,WBA US,868,86.95,43247,BTN1Y44
3M CO,MMM US,868,266.42,43247,2595708
UNITEDHEALTH GROUP INC,UNH US,868,332.22,43247,2917766
PFIZER INC,PFE US,868,49.52,43247,2684703
NIKE INC,NKE US,868,100.58,43247,2640147
CHEVRON CORP,CVX US,868,162.81,43247,2838555
HOME DEPOT INC,HD US,868,262.01,43247,2434209
JPMORGAN CHASE & CO,JPM US,868,150.14,43247,2190385
WALMART INC,WMT US,868,114.58,43247,2936921
CATERPILLAR INC,CAT US,868,183.12,43247,2180201
CISCO SYSTEMS INC,CSCO US,868,56.26,43247,2198163
GOLDMAN SACHS GROUP INC,GS US,868,308.54,43247,2407966
MERCK & CO INC,MRK US,868,84.07,43247,2778844
INTERNATIONAL BUSINESS MACHINES CORP,IBM US,868,191.13,43247,2005973
EXXON MOBIL CORPORATION,XOM US,868,108.96,43247,2326618
WALT DISNEY CO,DIS US,868,144.93,43247,2270726
VERIZON COMMUNICATIONS INC,VZ US,868,66.36,43247,2090571
MICROSOFT CORP,MSFT US,868,144.47,43247,2588173
BOEING CO,BA US,868,463.96,43247,2108601
MCDONALD'S CORP,MCD US,868,207.12,43247,2550707
PROCTER & GAMBLE CO,PG US,868,103.59,43247,2704407
APPLE INC,AAPL US,868,253.96,43247,2046251
JOHNSON & JOHNSON,JNJ US,868,167.66,43247,2475833

Open Currency Forwards Position,Quantity,Hedged Currency (%),FX Forward Rate,Value Date
CAD,203076094.98,96.09741322376036048668126591,1.00000,20180208
USD,-154456300,-95.26782131787471552473221397,1.30343,20180208

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
ZDM,JH204,BMO MSCI EAFE HEDGED TO CAD INDEX ETF,29640740,21.91541,0.20229,0,1.30355,0.2,50000,0

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
BMO MSCI EAFE Index ETF,ZEA,56613,19.18,33561307,BJFGNB7

Open Currency Forwards Position,Quantity,Hedged Currency (%),FX Forward Rate,Value Date
AUD,-46388000,-7.0048377727956236592947897237,0.97186,20180208
CAD,632290761.04,98.24389257756298126310091295,1.00000,20180208
CHF,-36644800,-7.4906869075132969472972259827,1.31559,20180208
DKK,-53753900,-1.7147815716691871257288327114,0.20531,20180208
EUR,-129820200,-30.857446037972304829805112504,1.52978,20180208
GBP,-66115200,-17.672757934723567700911041613,1.72034,20180208
HKD,-133731800,-3.4520055142860913564198999637,0.16613,20180208
ILS,-7667700,-0.4275778465999596037366446852,0.35889,20180208
JPY,-12835650400,-23.433894589243406051065959171,0.01175,20180208
NOK,-30797200,-0.7672587293151224456625890225,0.16034,20180208
SEK,-115134100,-2.6642494544570859645289005239,0.14893,20180208
SGD,-8173000,-1.2185599107189663617974499035,0.95957,20180208
USD,-3951000,-0.800172216606638832557713936,1.30343,20180208

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
ZDV,JH248,BMO CANADIAN DIVIDEND ETF,26850000,17.13608,0.07214,0,1.30355,0.35,100000,0

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
TRANSCONTINENTAL INC,TCL/A,993,30.90,266612,2357953
CANADIAN UTILITIES LTD,CU,1048,32.92,281455,2172639
INTACT FINANCIAL CORP,IFC,370,95.67,99260,B04YJV1
BCE INC,BCE,857,54.82,230119,B188TH2
POWER CORPORATION OF CANADA,POW,1248,29.77,335207,2697701
ALGONQUIN POWER & UTILITIES CORP,AQN,3348,12.79,898839,B51BMR7
TRANSCANADA CORP,TRP,631,58.29,169314,2665184
ENBRIDGE INCOME FUND HOLDINGS INC,ENF,1409,32.25,378351,B5PJ0N9
CANADIAN IMPERIAL BANK OF COMMERCE,CM,327,117.32,87743,2170525
CANADIAN WESTERN BANK,CWB,611,36.23,164113,2188283
THOMSON REUTERS CORP,TRI,501,54.78,134462,2889371
BROOKFIELD RENEWABLE PARTNERS LP,BEP-U,574,39.60,154054,B712JY0
NORTHLAND POWER INC,NPI,1808,24.19,485458,B68XHC3
MAGNA INTERNATIONAL INC,MG,214,76.52,57574,2554475
PEMBINA PIPELINE CORP,PPL,767,46.22,205894,B4PT2P8
CORUS ENTERTAINMENT INC,CJR/B,2181,4.02,585478,2484516
GENWORTH MI CANADA INC,MIC,1157,46.25,310784,B3NWJQ2
WSP GLOBAL INC,WSP,231,68.96,62086,BHR3R21
ROYAL BANK OF CANADA,RY,414,100.88,111093,2754383
TELUS CORP,T,1099,47.02,295108,2381093
MANULIFE FINANCIAL CORP,MFC,1141,23.89,306373,2492519
KEYERA CORP,KEY,858,37.75,230259,B3SGMV5
IGM FINANCIAL INC,IGM,1109,39.83,297637,2469375
FIRST CAP RLTY INC,FCR,2047,19.82,549496,2185596
ROGERS COMMUNICATIONS INC,RCI/B,404,64.76,108340,2169051
SHAW COMMUNICATIONS INC,SJR/B,1363,26.31,365854,2801836
ENERCARE INC,ECI,1379,18.51,370141,B3M62G6
GREAT-WEST LIFECO INC,GWO,1115,32.52,299314,2384951
BANK OF MONTREAL,BMO,421,103.86,112923,2076009
CI FINANCIAL CORP,CIX,1848,23.11,496263,B3KT0S5
VERMILION ENERGY INC,VET,858,47.62,230385,B607XS1
METHANEX CORP,MX,261,91.22,69975,2654416
SUN LIFE FINANCIAL INC,SLF,658,53.35,176797,2566124
BROOKFIELD PROPERTY PARTNERS LP,BPY-U,1882,26.84,505197,B96G8X3
CINEPLEX INC,CGX,773,28.64,207420,B682FM6
GIBSON ENERGY INC,GEI,1280,17.50,343814,B44WH97
ENSIGN ENERGY SERVICES INC,ESI,2677,5.36,718896,2317623
ALTAGAS LTD,ALA,1502,26.66,403286,B43WJC5
TORONTO-DOMINION BANK,TD,464,76.88,124709,2897222
RESTAURANT BRANDS INTERNATIONAL INC,QSR,321,84.00,86082,BTF8CF0
EMERA INC,EMA,993,42.34,266627,2650050
NUTRIEN LTD,NTR,365,69.07,98119,BDRJLN0
BANK OF NOVA SCOTIA,BNS,500,76.58,134271,2076281
FINNING INTERNATIONAL INC,FTT,582,32.18,156291,2339177
FORTIS INC,FTS,841,42.27,225718,2347200
NATIONAL BANK OF CANADA,NA,557,63.59,149440,2077303
INTER PIPELINE LTD,IPL,1663,24.59,446555,BDD54N3
DOREL INDUSTRIES INC,DII/B,725,24.49,194543,2262369
CAPITAL POWER CORP,CPX,2108,25.48,565874,B61KF83
ENBRIDGE INC,ENB,980,45.56,263195,2466149

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
ZDY,JH256,BMO US DIVIDEND ETF,47061800,31.51233,0.09882,0,1.30355,0.3,100000,0

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
CA INC,CA US,500,57.42,243812,2214832
PAYCHEX INC,PAYX US,288,93.86,140243,2674458
PRINCIPAL FINANCIAL GROUP INC,PFG US,441,71.72,214971,2803014
SOUTHERN CO,SO US,545,61.98,265419,2829601
AMERICAN ELECTRIC POWER COMPANY INC,AEP US,255,90.44,124037,2026242
WELLS FARGO & CO,WFC US,520,75.91,253543,2649100
CONSOLIDATED EDISON INC,ED US,229,100.88,111813,2216850
LYONDELLBASELL INDUSTRIES NV,LYB US,285,142.63,138735,B3SPXZ3
CENTURYLINK INC,CTL US,2005,23.80,976835,2185046
SEAGATE TECHNOLOGY PLC,STX US,607,73.57,295651,B58JVZ5
KOHLS CORP,KSS US,458,96.29,223306,2496113
CATERPILLAR INC,CAT US,79,183.12,38411,2180201
SYSCO CORP,SYY US,372,92.46,181407,2868165
AES CORP,AES US,1439,17.47,701342,2002479
